"province_name","district","year","week","weekly_dengue_cases","weekly_diarrhea_cases","population","rainsum","meantemperature","max_temperature","min_temperature","rainsum_std"
"02 Phongsali",2,2020,4,0,15,193175,0,18.3571428571429,23.3571428571429,13.3285714285714,-0.78018849069854
"02 Phongsali",2,2020,5,3,19,193175,0,13.0714285714286,16.9285714285714,9.14285714285714,-0.78018849069854
"02 Phongsali",2,2020,6,0,13,193175,12.9,19.2714285714286,23.9285714285714,14.6,-0.473760190128285
"02 Phongsali",2,2020,7,0,14,193175,0,18.5571428571429,23.2857142857143,13.7857142857143,-0.78018849069854
"02 Phongsali",2,2020,8,0,25,193175,0,15.6714285714286,20.3571428571429,10.9285714285714,-0.78018849069854
"02 Phongsali",2,2020,9,0,18,193175,0,20.2428571428571,25.5,14.9285714285714,-0.78018849069854
"02 Phongsali",2,2020,10,0,12,193175,4.8,20.6285714285714,25.7857142857143,15.4142857142857,-0.666168657928212
"02 Phongsali",2,2020,11,0,8,193175,0,22.9,28.8571428571429,16.8857142857143,-0.78018849069854
"02 Phongsali",2,2020,12,0,31,193175,6.7,22.8714285714286,27.6571428571429,18.0714285714286,-0.621035807456624
"02 Phongsali",2,2020,13,0,25,193175,3.8,24.6714285714286,30.5714285714286,18.7142857142857,-0.689922789755364
"02 Phongsali",2,2020,14,0,12,193175,0,25.4571428571429,30.3571428571429,20.5,-0.78018849069854
"02 Phongsali",2,2020,15,1,3,193175,20.1,19.1,23.2142857142857,14.9714285714286,-0.302730440972793
"02 Phongsali",2,2020,16,0,5,193175,13.6,21.3857142857143,27.9571428571429,14.7142857142857,-0.457132297849279
"02 Phongsali",2,2020,17,0,13,193175,115,19.5714285714286,23.1714285714286,15.9285714285714,1.95153666942389
"02 Phongsali",2,2020,18,0,9,193175,52.9,20.6714285714286,24.9857142857143,16.3142857142857,0.476405082957779
"02 Phongsali",2,2020,19,0,4,193175,1.5,25.6142857142857,31.9,19.2428571428571,-0.744557292957813
"02 Phongsali",2,2020,20,0,12,193175,19.6,24.6285714285714,29.5,19.7142857142857,-0.314607506886369
"02 Phongsali",2,2020,21,0,13,193175,33.9,25.5714285714286,30.4285714285714,20.6428571428571,0.0250765782418985
"02 Phongsali",2,2020,22,0,17,193175,76.3,22.9,27.2142857142857,18.5,1.03225176771313
"02 Phongsali",2,2020,23,0,14,193175,38.3,24.4,29,19.7428571428571,0.129594758281365
"02 Phongsali",2,2020,24,0,6,193175,27.8,23.4857142857143,26.8571428571429,20.0714285714286,-0.119823625903726
"02 Phongsali",2,2020,25,0,11,193175,81.4,22.6857142857143,25.8571428571429,19.4428571428571,1.1533978400316
"02 Phongsali",2,2020,26,0,17,193175,14.1,23.4428571428571,27.1428571428571,19.6714285714286,-0.445255231935703
"02 Phongsali",2,2020,27,0,10,193175,16.7,23.0285714285714,26,20,-0.383494489185109
"02 Phongsali",2,2020,28,2,4,193175,156.4,22.2714285714286,25.1428571428571,19.3571428571429,2.93495772706797
"02 Phongsali",2,2020,29,0,16,193175,68.3,23.3142857142857,27,19.5714285714286,0.842218713095913
"02 Phongsali",2,2020,30,0,20,193175,34.8,23.7142857142857,27.4285714285714,19.9428571428571,0.0464552968863349
"02 Phongsali",2,2020,31,1,20,193175,27.5,23.4285714285714,26.8571428571429,19.9285714285714,-0.126949865451872
"02 Phongsali",2,2020,32,0,9,193175,62.3,22.4,25.1428571428571,19.6,0.699693922133003
"02 Phongsali",2,2020,33,0,8,193175,117.6,21.7142857142857,24.5,18.8857142857143,2.01329741217449
"02 Phongsali",2,2020,34,0,11,193175,68.7,21.7857142857143,25,18.5,0.851720365826774
"02 Phongsali",2,2020,35,0,7,193175,8.8,23,26.5,19.4285714285714,-0.571152130619606
"02 Phongsali",2,2020,36,0,32,193175,71.8,23.4714285714286,27.2142857142857,19.6428571428571,0.925358174490943
