"province_name","district","year","week","weekly_dengue_cases","weekly_diarrhea_cases","population","rainsum","meantemperature","max_temperature","min_temperature","rainsum_std"
"15 Xekong",15,2018,13,1,64,124582,4.6,27.7428571428571,33.9571428571429,21.4714285714286,-0.474579364408759
"15 Xekong",15,2018,14,4,80,124582,18,28.3285714285714,34.9857142857143,21.6,-0.258631690710276
"15 Xekong",15,2018,15,4,139,124582,0.8,29.8857142857143,37.2,22.5428571428571,-0.53581825695012
"15 Xekong",15,2018,16,5,96,124582,122,29.0428571428571,35.7285714285714,22.2857142857143,1.41738010515855
"15 Xekong",15,2018,17,3,124,124582,60.1,30.2714285714286,36.4285714285714,24.0857142857143,0.419830776655854
"15 Xekong",15,2018,18,0,149,124582,84.2,29.7428571428571,34.9857142857143,24.4714285714286,0.80821427935238
"15 Xekong",15,2018,19,4,160,124582,11.9,29.2285714285714,33.7571428571429,24.6285714285714,-0.356936228737197
"15 Xekong",15,2018,20,6,175,124582,22.2,30.2857142857143,36.2285714285714,24.3,-0.190946598954035
"15 Xekong",15,2018,21,8,136,124582,149.8,29.8857142857143,35.5857142857143,24.1571428571429,1.86539095059272
"15 Xekong",15,2018,22,17,102,124582,64.9,30.5571428571429,36.0428571428571,25,0.497185167234415
"15 Xekong",15,2018,23,40,90,124582,262.9,28.4714285714286,32.4285714285714,24.4857142857143,3.68805377860006
"15 Xekong",15,2018,24,47,91,124582,181,27.7142857142857,31.5857142857143,23.8142857142857,2.36819448935336
"15 Xekong",15,2018,25,51,77,124582,42,28.2428571428571,32.0571428571429,24.4,0.12814026218253
"15 Xekong",15,2018,26,53,40,124582,109.7,28.2571428571429,32.5571428571429,23.9285714285714,1.21915947930099
"15 Xekong",15,2018,27,57,56,124582,197.5,28.1428571428571,31.7714285714286,24.4714285714286,2.63410020696717
"15 Xekong",15,2018,28,66,25,124582,474.9,26.9142857142857,29.3142857142857,24.4857142857143,7.10453936248651
"15 Xekong",15,2018,29,80,44,124582,370.1,26.6857142857143,29.4857142857143,23.8714285714286,5.41563516818793
"15 Xekong",15,2018,30,51,47,124582,522.3,27.0142857142857,29.8,24.1571428571429,7.8684139694498
"15 Xekong",15,2018,31,65,57,124582,94.2,27.5142857142857,31.4571428571429,23.5,0.969369259724382
"15 Xekong",15,2018,32,44,60,124582,181.9,26.9857142857143,30.1142857142857,23.8142857142857,2.38269843758684
"15 Xekong",15,2018,33,34,46,124582,514.1,26.7142857142857,29.6571428571429,23.7571428571429,7.73626688554476
"15 Xekong",15,2018,34,34,67,124582,244.3,27.0571428571429,29.8428571428571,24.2,3.38830551510814
"15 Xekong",15,2018,35,25,61,124582,180.1,27.2142857142857,30.5857142857143,23.7857142857143,2.35369054111988
"15 Xekong",15,2018,36,17,56,124582,91.1,27.9,32.2285714285714,23.5285714285714,0.919411215809061
"15 Xekong",15,2018,37,12,66,124582,81.7,28.4285714285714,33.0857142857143,23.7428571428571,0.767925534259379
"15 Xekong",15,2018,38,6,64,124582,173.1,28.2571428571429,33.0285714285714,23.4428571428571,2.24088205485948
"15 Xekong",15,2018,39,6,54,124582,85.7,29.0285714285714,34.1142857142857,23.8857142857143,0.83238752640818
"15 Xekong",15,2018,40,1,51,124582,0.6,27.3714285714286,31.8714285714286,22.7857142857143,-0.53904135655756
"15 Xekong",15,2018,41,1,52,124582,0,28.1571428571429,33.9714285714286,22.3142857142857,-0.54871065537988
"15 Xekong",15,2018,42,0,53,124582,61.1,28.4,33.2714285714286,23.5,0.435946274693054
"15 Xekong",15,2018,43,0,57,124582,0.6,27.8714285714286,33.1,22.6428571428571,-0.53904135655756
"15 Xekong",15,2018,44,2,50,124582,0,25.3571428571429,32.5285714285714,18.1428571428571,-0.54871065537988
"15 Xekong",15,2018,45,0,38,124582,18.9,27.6142857142857,34.2857142857143,20.8571428571429,-0.244127742476796
"15 Xekong",15,2018,46,0,70,124582,20.5,27.6714285714286,33.4,21.8857142857143,-0.218342945617275
"15 Xekong",15,2018,47,0,56,124582,18.2,27.5142857142857,32.8142857142857,22.1428571428571,-0.255408591102836
"15 Xekong",15,2018,48,3,51,124582,12.1,26.0428571428571,31.5285714285714,20.5,-0.353713129129757
"15 Xekong",15,2018,49,4,40,124582,10.5,27.2,34,20.3428571428571,-0.379497925989278
"15 Xekong",15,2018,50,1,60,124582,20.8,25.7142857142857,31.5142857142857,19.8857142857143,-0.213508296206115
"15 Xekong",15,2018,51,1,65,124582,0,25.7428571428571,32.8285714285714,18.6,-0.54871065537988
"15 Xekong",15,2018,52,16,37,124582,0.2,26.3428571428571,32.6571428571429,19.9714285714286,-0.54548755577244
"15 Xekong",15,2018,53,0,23,124582,0,25.85,31.25,20.4,-0.54871065537988
