"province_name","district","year","week","weekly_dengue_cases","weekly_diarrhea_cases","population","rainsum","meantemperature","max_temperature","min_temperature","rainsum_std"
"06 Louangphabang",6,2024,16,12,195,477651,0,33.5285714285714,41.4428571428571,25.5714285714286,-0.607552468317222
"06 Louangphabang",6,2024,17,27,141,477651,0,32.4,39.9285714285714,24.8,-0.607552468317222
"06 Louangphabang",6,2024,18,23,154,477651,12.4,30.5714285714286,37.7714285714286,23.3142857142857,-0.337821007006624
"06 Louangphabang",6,2024,19,24,153,477651,102.4,31.9428571428571,39.1714285714286,24.6428571428571,1.61990734121546
"06 Louangphabang",6,2024,20,32,201,477651,55.3,28.4142857142857,33.9285714285714,22.8571428571429,0.595362838979235
"06 Louangphabang",6,2024,21,25,109,477651,2.5,31.5285714285714,38.6,24.4,-0.553171125311053
"06 Louangphabang",6,2024,22,20,125,477651,25.5,31.2714285714286,37.7714285714286,24.7571428571429,-0.0528627696542986
"06 Louangphabang",6,2024,23,32,80,477651,25.2,29.9285714285714,36,23.8285714285714,-0.0593885308150389
"06 Louangphabang",6,2024,24,65,87,477651,32.4,28.9571428571429,33.5571428571429,24.3,0.0972297370427277
"06 Louangphabang",6,2024,25,97,133,477651,0.8,29.7142857142857,34.8,24.5857142857143,-0.590150438555248
"06 Louangphabang",6,2024,26,110,126,477651,129.3,29.1428571428571,34.3428571428571,23.8714285714286,2.20505059196184
"06 Louangphabang",6,2024,27,223,139,477651,44,30.2714285714286,34.5142857142857,25.9857142857143,0.349559168591352
"06 Louangphabang",6,2024,28,241,124,477651,26.4,29.5285714285714,34.6714285714286,24.3571428571429,-0.0332854861720778
"06 Louangphabang",6,2024,29,246,138,477651,45.8,29.0285714285714,33.8428571428571,24.1428571428571,0.388713735555794
"06 Louangphabang",6,2024,30,283,107,477651,37.9,30.3,36.1,24.4714285714286,0.216868691656299
"06 Louangphabang",6,2024,31,284,64,477651,119.8,27.6285714285714,31.0714285714286,24.1285714285714,1.99840148853839
"06 Louangphabang",6,2024,32,280,68,477651,308.3,24.4,26.1857142857143,22.5857142857143,6.09875475120354
"07 Houaphan",7,2024,14,0,182,317049,4,23.0714285714286,30.6571428571429,15.4714285714286,-0.562367141360761
"07 Houaphan",7,2024,15,0,166,317049,0,23.3142857142857,29.0285714285714,17.5285714285714,-0.644855016504334
"07 Houaphan",7,2024,16,0,234,317049,0.3,25.7,32.2857142857143,19.0714285714286,-0.638668425868566
"07 Houaphan",7,2024,17,0,203,317049,8.7,24.4,30.8428571428571,17.9285714285714,-0.465443888067063
"07 Houaphan",7,2024,18,0,201,317049,44.4,24.6285714285714,30.6285714285714,18.6142857142857,0.270760397589322
"07 Houaphan",7,2024,19,0,219,317049,23.1,25.9571428571429,31.8571428571429,20,-0.168487537550202
"07 Houaphan",7,2024,20,0,203,317049,20.7,22.6285714285714,27.0857142857143,18.1,-0.217980262636345
"07 Houaphan",7,2024,21,0,203,317049,17.8,26.6571428571429,33.7285714285714,19.5714285714286,-0.277783972115436
"07 Houaphan",7,2024,22,0,186,317049,26.8,26.6571428571429,32.1,21.1714285714286,-0.0921862530423973
"07 Houaphan",7,2024,23,0,132,317049,141,25.8428571428571,30.0714285714286,21.5571428571429,2.2628425823066
"07 Houaphan",7,2024,24,0,128,317049,140.6,25.3571428571429,29.7285714285714,20.9714285714286,2.25459379479224
"07 Houaphan",7,2024,25,0,147,317049,57.4,25.6142857142857,29.7,21.5142857142857,0.538845991805933
"07 Houaphan",7,2024,26,0,144,317049,30.6,25.5142857142857,29.5142857142857,21.5,-0.0138227716560034
"07 Houaphan",7,2024,27,0,168,317049,32,26.9142857142857,31.4571428571429,22.3285714285714,0.015047984644247
"07 Houaphan",7,2024,28,1,167,317049,15.8,25.6285714285714,30.4714285714286,20.7571428571429,-0.319027909687222
"07 Houaphan",7,2024,29,1,191,317049,15.5,25.6,29.6571428571429,21.5,-0.32521450032299
"07 Houaphan",7,2024,30,1,157,317049,0,26.3857142857143,31.7714285714286,20.9857142857143,-0.644855016504334
"07 Houaphan",7,2024,31,0,170,317049,242.7,24.6857142857143,27.6142857142857,21.7142857142857,4.36009680783193
"07 Houaphan",7,2024,32,0,158,317049,86.1,23.1857142857143,25.2857142857143,21.1142857142857,1.13069649596107
"08 Xainyabouli",8,2024,14,0,62,439382,0,27.8285714285714,36.9857142857143,18.6428571428571,-0.727755879458796
"08 Xainyabouli",8,2024,15,7,43,439382,0,30.5,38.7571428571429,22.2142857142857,-0.727755879458796
"08 Xainyabouli",8,2024,16,8,71,439382,14.7,31.3571428571429,39.7285714285714,22.9714285714286,-0.333193709912425
"08 Xainyabouli",8,2024,17,11,54,439382,0,29.2714285714286,37,21.4857142857143,-0.727755879458796
"08 Xainyabouli",8,2024,18,19,60,439382,4.5,29.5,36.9142857142857,22.0714285714286,-0.60697154184256
"08 Xainyabouli",8,2024,19,30,51,439382,38.9,31.4571428571429,39.2142857142857,23.6714285714286,0.316357616823779
"08 Xainyabouli",8,2024,20,32,51,439382,64.8,28.3285714285714,33.9,22.7142857142857,1.011538582215
"08 Xainyabouli",8,2024,21,65,48,439382,21.2,30.2571428571429,37.3285714285714,23.1571428571429,-0.15872744446675
"08 Xainyabouli",8,2024,22,45,64,439382,67.2,29.3857142857143,35.0714285714286,23.6857142857143,1.07595689561033
"08 Xainyabouli",8,2024,23,69,56,439382,37.5,29.4714285714286,34.8571428571429,24.0428571428571,0.278780267343172
"08 Xainyabouli",8,2024,24,62,53,439382,10.2,28.5285714285714,33.2142857142857,23.8142857142857,-0.453978047528661
"08 Xainyabouli",8,2024,25,84,43,439382,0,29.1285714285714,34.1428571428571,24.0714285714286,-0.727755879458796
"08 Xainyabouli",8,2024,26,114,33,439382,55.6,28.1714285714286,32.8,23.4714285714286,0.764601714199589
"08 Xainyabouli",8,2024,27,174,59,439382,25.3,28.9285714285714,34.0142857142857,23.8142857142857,-0.0486794924164015
"08 Xainyabouli",8,2024,28,154,54,439382,12.5,28.5714285714286,33.5,23.6,-0.392243830524807
"08 Xainyabouli",8,2024,29,144,37,439382,73.6,28.7428571428571,33.4857142857143,23.9571428571429,1.24773906466453
"08 Xainyabouli",8,2024,30,177,43,439382,69,29.0428571428571,35,23.0142857142857,1.12427063065683
"08 Xainyabouli",8,2024,31,152,43,439382,43.9,27.3142857142857,30.3428571428571,24.2285714285714,0.450562436397375
"08 Xainyabouli",8,2024,32,131,35,439382,126.6,25.1285714285714,27.6285714285714,22.6142857142857,2.67031015214465
"09 Xiangkhouang",9,2024,14,0,214,274365,0,24.3,32.3571428571429,16.2142857142857,-0.664197439540291
"09 Xiangkhouang",9,2024,15,0,169,274365,3.7,25.3571428571429,32.2428571428571,18.4285714285714,-0.577318187966776
